OTUID,rep_202,rep_205,rep_208,rep_209,rep_210,rep_211,rep_212,rep_213,rep_218,rep_224,rep_233,rep_234,rep_235,rep_236,rep_244,rep_247,rep_251,rep_254,rep_259,rep_260,rep_267,rep_270,rep_279,rep_282,rep_285,rep_288,rep_291,rep_294,rep_304,rep_310,rep_311,rep_312,rep_313,rep_314,rep_315,rep_316,rep_317,rep_318,rep_319,rep_320,rep_321,rep_322,rep_323,rep_324,rep_325,rep_326,rep_327,rep_328,rep_329,rep_330,rep_331,rep_332,rep_333,rep_334,rep_335,rep_336,rep_338,rep_339,rep_340,rep_342,rep_346,rep_347,rep_352,rep_353,rep_354,rep_356,rep_357,rep_358,rep_359,rep_360,rep_361,rep_362,rep_363,rep_365,rep_366,rep_367,rep_368,rep_369,rep_372,rep_376,rep_377,rep_378,rep_379,rep_381,rep_382,ConsensusLineage
52376e50ae5edaeb87b86ceb34bab064,0,364,0,173,0,0,0,517,0,235,0,0,0,0,0,0,1688,0,0,0,0,0,171,0,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,563,0,0,0,15,0,0,0,51,0,0,6970,39,0,722,0,0,0,147,1229,0,416,0,0,0,0,0,0,0,0,157,172,222,717,0,150,0,0,188,28,0,106,0,0,0,131,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum group1
6780eb3fec75df84b45aec11c3658dd4,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,48,54,0,0,0,8718,6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Gomphonemataceae; Gomphonema; Gomphonema lagenula
5534627bb9f9c78d1ac9735470270721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,222,0,0,0,0,0,0,0,73,54,10,0,187,0,0,0,0,2569,0,0,9527,1566,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Fragilariales; Fragilariaceae; Ulnaria; Ulnaria ulna
631f29520c33966e0e70149a0e77a803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,316,0,0,0,17,140,0,0,0,0,0,0,0,12684,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
a1157874533097fe33817221dd45cf58,0,0,0,0,0,0,0,0,0,0,3595,3066,6632,0,0,20,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sp.
4821153cf288752e88cd4a6a2902a87a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7801,0,103,0,0,0,0,0,53,0,0,0,6,0,0,0,0,0,0,6,0,0,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,78,Unassigned
03a9a14aa1c2a904d34a5654f7d7e458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9853,0,0,0,0,0,0,0,0,0,1315,0,0,24,0,0,0,0,0,0,0,0,1084,11,0,0,26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
128fd45b5d7d54c08f588415adaa81fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,12226,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
8383588ab379ef5ab1451c70ed301444,2559,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,69,0,0,11,53,9062,4,6,0,6,251,7,9,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
094639ae5c6e21eacbdce34e3ba8aa27,0,240,0,154,0,0,1312,512,0,0,0,0,0,45,0,0,0,0,0,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,42,0,0,300,47,0,0,0,0,0,0,0,0,0,0,3400,149,0,0,0,131,0,493,0,554,0,0,0,69,132,632,126,76,0,0,160,0,0,94,53,77,0,93,0,53,33,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum group1
