OTUID,rep_230,rep_230a,rep_272,rep_499,rep_500,rep_501,rep_505,rep_507,rep_508,rep_510,rep_511,rep_512,rep_513,rep_514,rep_515,rep_516,rep_517,rep_518,rep_520,rep_522,rep_523,rep_524,rep_527,rep_528,rep_529,rep_531,rep_532,rep_533,rep_534,rep_536,rep_537,rep_538,rep_542,rep_543,rep_545,rep_546,rep_549,rep_550,rep_552,rep_553,rep_554,rep_555,rep_559,rep_560,rep_561,rep_563,rep_564,rep_566,rep_568,rep_569,rep_570,rep_571,rep_572,rep_573,rep_574,rep_575,rep_576,rep_577,rep_580,rep_581,rep_583,rep_590,rep_591,rep_80,rep_82,rep_95,rep_EFE,ConsensusLineage
92d2089812a492fc853cc28cc0eef35a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,5183,0,0,0,46,0,113,710,0,0,0,0,0,47,0,0,126,0,0,109,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Bacillariales; Bacillariaceae; Nitzschia; Nitzschia soratensis
1bce5258886801a7bac7a9fa1dfd4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
fc15ce95298152de715c4b7046527421,512,0,0,0,0,103,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,19,225,0,0,0,0,0,76,0,0,3052,52,0,0,974,0,0,0,0,27,19,0,0,130,241,0,0,324,0,347,18,0,0,108,0,0,27,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Rhoicospheniaceae; Rhoicosphenia; Rhoicosphenia abbreviata
90e44acf5d95726152b1ee7482f2fe2d,0,0,0,0,52,242,0,0,0,0,0,0,0,0,0,606,0,0,95,0,0,50,0,0,0,0,4008,0,0,28,0,0,0,0,0,0,154,0,1007,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Gomphonemataceae; Gomphonema; Gomphonema parvulum
3158e5163f34ee03fe28aae91a016f5e,0,0,4686,0,0,0,99,0,0,6,0,23,0,0,0,0,0,88,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sp.
2e1b1ae0d90e69062cf9873a8e1e09bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1376,0,30,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sorex
edc901042b9f57418d72b9dedc7b9dd1,27,0,0,0,0,0,0,77,99,1651,53,0,174,0,35,0,0,42,0,0,0,0,21,0,0,0,0,0,0,0,196,44,0,0,0,0,0,0,0,733,80,0,44,0,0,459,0,0,51,0,0,774,44,332,47,0,17,0,0,993,0,0,38,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Cocconeidaceae; Cocconeis; Cocconeis euglypta
97a8836fa4a96d2876115edc04b13543,0,0,0,0,0,0,0,0,0,2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,172,0,289,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,72,1894,44,48,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Achnanthidium; Achnanthidium eutrophilum
26173c2f76d0419a37a736b6db068a60,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4615,21,83,95,0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
e10fea9860bc27291d2427199d6a2b74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,0,0,0,0,0,0,0,0,0,0,0,11,3419,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
